confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,MachineLearning,0.238,Apache Solr Search Patterns (Jayant Kumar) (z-lib.org),Apache Solr Search Patterns (Jayant Kumar) (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Apache Solr Search Patterns (Jayant Kumar) (z-lib.org).pdf,body:machine learning
0.350,MachineLearning,0.238,Build_your_own_IoT_Gateway_with_Python,Build_your_own_IoT_Gateway_with_Python.pdf,/Users/longtran/Documents/E-Books/Build_your_own_IoT_Gateway_with_Python.pdf,body:machine learning
0.350,MachineLearning,0.238,Data Engineering with Python Work with massive datasets to design data models and automate data pipelines using Python by Paul Crickard (z-lib.org),Data Engineering with Python Work with massive datasets to design data models and automate data pipelines using Python by Paul Crickard (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Data Engineering with Python Work with massive datasets to design data models and automate data pipelines using Python by Paul Crickard (z-lib.org).pdf,body:machine learning
0.350,MachineLearning,0.238,Data Engineering with Python Work with massive datasets to design data models and automate data pipelines using Python by Paul Crickard (z-lib.org) (1),Data Engineering with Python Work with massive datasets to design data models and automate data pipelines using Python by Paul Crickard (z-lib.org) (1).pdf,/Users/longtran/Documents/E-Books/Data Engineering with Python Work with massive datasets to design data models and automate data pipelines using Python by Paul Crickard (z-lib.org) (1).pdf,body:machine learning
0.350,MachineLearning,0.238,"Hands-On IoT Solutions with Blockchain by Maximiliano Santos, Enio Moura (z-lib.org)","Hands-On IoT Solutions with Blockchain by Maximiliano Santos, Enio Moura (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Hands-On IoT Solutions with Blockchain by Maximiliano Santos, Enio Moura (z-lib.org).pdf",body:machine learning
0.350,MachineLearning,0.238,"Imran Ahmad - 50 Algorithms Every Programmer Should Know_ An unbeatable arsenal of algorithmic solutions for real-world problems (2023, Packt Publishing) - libgen.li","Imran Ahmad - 50 Algorithms Every Programmer Should Know_ An unbeatable arsenal of algorithmic solutions for real-world problems (2023, Packt Publishing) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Imran Ahmad - 50 Algorithms Every Programmer Should Know_ An unbeatable arsenal of algorithmic solutions for real-world problems (2023, Packt Publishing) - libgen.li.pdf",body:machine learning
0.350,MachineLearning,0.238,ML_slides,ML_slides.pdf,/Users/longtran/Documents/E-Books/ML_slides.pdf,body:machine learning
0.350,MachineLearning,0.238,Practical Data Science A Guide to Building the Technology Stack for Turning Data Lakes into Business Assets (Andreas François Vermeulen) (z-lib.org),Practical Data Science A Guide to Building the Technology Stack for Turning Data Lakes into Business Assets (Andreas François Vermeulen) (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Practical Data Science A Guide to Building the Technology Stack for Turning Data Lakes into Business Assets (Andreas François Vermeulen) (z-lib.org).pdf,body:machine learning
0.350,MachineLearning,0.238,"Python Web Scraping Hands-on data scraping and crawling using PyQT, Selenium, HTML and Python by Katharine Jarmul, Richard Lawson (z-lib.org)","Python Web Scraping Hands-on data scraping and crawling using PyQT, Selenium, HTML and Python by Katharine Jarmul, Richard Lawson (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Python Web Scraping Hands-on data scraping and crawling using PyQT, Selenium, HTML and Python by Katharine Jarmul, Richard Lawson (z-lib.org).pdf",body:machine learning
0.350,MachineLearning,0.238,"Richard D Avila, Imran Ahmad - Architecting AI Software Systems_ Crafting robust and scalable AI systems for modern software development (2025, Packt Publishing) - libgen.li","Richard D Avila, Imran Ahmad - Architecting AI Software Systems_ Crafting robust and scalable AI systems for modern software development (2025, Packt Publishing) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Richard D Avila, Imran Ahmad - Architecting AI Software Systems_ Crafting robust and scalable AI systems for modern software development (2025, Packt Publishing) - libgen.li.pdf",body:machine learning
0.350,MachineLearning,0.238,"Saurabh Shrivastava, Neelanjali Srivastav - Solutions Architect's Handbook_ Kick-start your career as a solutions architect by learning architecture design principles and (2022, Packt Publishing) - libgen.li","Saurabh Shrivastava, Neelanjali Srivastav - Solutions Architect's Handbook_ Kick-start your career as a solutions architect by learning architecture design principles and (2022, Packt Publishing) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Saurabh Shrivastava, Neelanjali Srivastav - Solutions Architect's Handbook_ Kick-start your career as a solutions architect by learning architecture design principles and (2022, Packt Publishing) - libgen.li.pdf",body:machine learning
