confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,NLP,0.238,92eeed2b-7402-494b-8623-a030a3f4422c,92eeed2b-7402-494b-8623-a030a3f4422c.pdf,/Users/longtran/Documents/E-Books/92eeed2b-7402-494b-8623-a030a3f4422c.pdf,body:bert
0.350,NLP,0.238,Data Engineering with Python Work with massive datasets to design data models and automate data pipelines using Python by Paul Crickard (z-lib.org),Data Engineering with Python Work with massive datasets to design data models and automate data pipelines using Python by Paul Crickard (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Data Engineering with Python Work with massive datasets to design data models and automate data pipelines using Python by Paul Crickard (z-lib.org).pdf,body:natural language processing
0.350,NLP,0.238,Data Engineering with Python Work with massive datasets to design data models and automate data pipelines using Python by Paul Crickard (z-lib.org) (1),Data Engineering with Python Work with massive datasets to design data models and automate data pipelines using Python by Paul Crickard (z-lib.org) (1).pdf,/Users/longtran/Documents/E-Books/Data Engineering with Python Work with massive datasets to design data models and automate data pipelines using Python by Paul Crickard (z-lib.org) (1).pdf,body:natural language processing
0.350,NLP,0.238,Head First jQuery,"Head First jQuery (Ryan Benedetti, Ronan Cranley) (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Head First jQuery (Ryan Benedetti, Ronan Cranley) (z-lib.org).pdf",body:bert
0.350,NLP,0.238,Head First jQuery,"Ryan Benedetti, Ronan Cranley - Head First jQuery  -O'Reilly Media (2011).pdf","/Users/longtran/Documents/E-Books/Ryan Benedetti, Ronan Cranley - Head First jQuery  -O'Reilly Media (2011).pdf",body:bert
0.350,NLP,0.238,Mastering Kafka Streams and ksqlDB,"Mastering Kafka Streams and ksqlDB Building real-time data systems by example by Seymour, Mitch (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Mastering Kafka Streams and ksqlDB Building real-time data systems by example by Seymour, Mitch (z-lib.org).pdf",body:sentiment analysis
0.350,NLP,0.238,someTitle,"Genetic Algorithms and Applications for Stock Trading Optimization (Vivek Kapoor, Shubhamoy Dey) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Genetic Algorithms and Applications for Stock Trading Optimization (Vivek Kapoor, Shubhamoy Dey) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:natural language processing
0.350,NLP,0.275,Streamlit Essentials: From basics to advanced data app development,"Streamlit Essentials_ From basics to advanced data app -- Pandey, Surabhi; -- BPB Publications -- c7a4286d428926375474f48d24d7f7db -- Anna’s Archive.pdf","/Users/longtran/Documents/E-Books/Streamlit Essentials_ From basics to advanced data app -- Pandey, Surabhi; -- BPB Publications -- c7a4286d428926375474f48d24d7f7db -- Anna’s Archive.pdf",body:natural language processing; body:nlp
0.350,NLP,0.312,"How Large Language Models Work (Edward Raff, Drew Farris, Stella Biderman) (z-library.sk, 1lib.sk, z-lib.sk)","How Large Language Models Work (Edward Raff, Drew Farris, Stella Biderman) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/How Large Language Models Work (Edward Raff, Drew Farris, Stella Biderman) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:natural language processing; body:tokenization; body:word embedding
0.350,NLP,0.325,475431_1_En_Print.indd,"Recommender System for Improving Customer Loyalty (Katarzyna Tarnowska, Zbigniew W. Ras etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Recommender System for Improving Customer Loyalty (Katarzyna Tarnowska, Zbigniew W. Ras etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:natural language processing; body:sentiment analysis
0.350,NLP,0.325,Apache Solr Search Patterns (Jayant Kumar) (z-lib.org),Apache Solr Search Patterns (Jayant Kumar) (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Apache Solr Search Patterns (Jayant Kumar) (z-lib.org).pdf,body:natural language processing; body:nlp
