confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,Security,0.288,A Practical Guide to the GDPR,A-Practical-Guide-to-the-GDPR-Gregg-Latchams-v1-Sept-2017-1.pdf,/Users/longtran/Documents/E-Books/A-Practical-Guide-to-the-GDPR-Gregg-Latchams-v1-Sept-2017-1.pdf,body:security
0.350,Security,0.288,API Management An Architect’s Guide to Developing and Managing APIs for Your Organization (Brajesh De) (Z-Library),API Management An Architect’s Guide to Developing and Managing APIs for Your Organization (Brajesh De) (Z-Library).pdf,/Users/longtran/Documents/E-Books/API Management An Architect’s Guide to Developing and Managing APIs for Your Organization (Brajesh De) (Z-Library).pdf,body:security
0.350,Security,0.288,AWS Cookbook,"AWS Cookbook Recipes for Success on AWS (John Culkin, Mike Zazon) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/AWS Cookbook Recipes for Success on AWS (John Culkin, Mike Zazon) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:security
0.350,Security,0.288,"Computer Networking, EBook, Global Edition","Computer Networking A Top-Down Approach, Global Edition, 8th Edition by Kurose, James, Ross, Keith (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Computer Networking A Top-Down Approach, Global Edition, 8th Edition by Kurose, James, Ross, Keith (z-lib.org).pdf",body:security
0.350,Security,0.288,Hands-On Smart Contract Development with Solidity and Ethereum,"Hands-On Smart Contract Development with Solidity and Ethereum From Fundamentals to Deployment (Kevin Solorio, Randall Kanna, David H. Hoover) (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Hands-On Smart Contract Development with Solidity and Ethereum From Fundamentals to Deployment (Kevin Solorio, Randall Kanna, David H. Hoover) (z-lib.org).pdf",body:security
0.350,Security,0.288,"IELTS Writing Masterclass 8.5. Master IELTS Writing Academic + General Task 1 & 2, Including Graphs, Letters, Essay Writing & Grammar for IELTS Academic ... Writing Originals © (IELTS Writing Book)","IELTS Writing Masterclass 8.5. Master IELTS Writing Academic + General Task 1  2, Including Graphs, Letters, Essay Writing ... (Roche, Marc) (Z-Library).pdf","/Users/longtran/Documents/E-Books/IELTS/IELTS Writing Masterclass 8.5. Master IELTS Writing Academic + General Task 1  2, Including Graphs, Letters, Essay Writing ... (Roche, Marc) (Z-Library).pdf",body:security
0.350,Security,0.288,Modern C++ Tutorial: C++11/14/17/20 On the Fly,"Modern C++ Tutorial C++11141720 On the Fly (Ou Changkun) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Modern C++ Tutorial C++11141720 On the Fly (Ou Changkun) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:security
0.350,Security,0.288,OAuth 2.0 Simplified,"Oauth 2.0 Simplified (Parecki, Aaron) (Z-Library).pdf","/Users/longtran/Documents/E-Books/Oauth 2.0 Simplified (Parecki, Aaron) (Z-Library).pdf",body:security
0.350,Security,0.288,PowerPoint-Präsentation,Bauplan-Master-Informatik_ENG.pdf,/Users/longtran/Documents/E-Books/Bauplan-Master-Informatik_ENG.pdf,body:security
0.350,Security,0.288,Site Reliability Engineering,"Site Reliability Engineering How Google Runs Production Systems (Betsy Beyer, Chris Jones, Jennifer Petoff etc.) (Z-Library).pdf","/Users/longtran/Documents/E-Books/Site Reliability Engineering How Google Runs Production Systems (Betsy Beyer, Chris Jones, Jennifer Petoff etc.) (Z-Library).pdf",body:security
0.350,Security,0.288,Ultimate Linux Projects - 2022 (2022) - libgen.li,Ultimate Linux Projects - 2022 (2022) - libgen.li.pdf,/Users/longtran/Documents/E-Books/Ultimate Linux Projects - 2022 (2022) - libgen.li.pdf,body:security
0.350,Security,0.288,Understanding and Using C Pointers,"Understanding and Using C Pointers (Richard Reese) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Understanding and Using C Pointers (Richard Reese) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:security
0.350,Security,0.325,Effective Rust,"David Drysdale - Effective Rust_ 35 Specific Ways to Improve Your Rust Code (2024, O'Reilly Media) - libgen.li.pdf","/Users/longtran/Documents/E-Books/David Drysdale - Effective Rust_ 35 Specific Ways to Improve Your Rust Code (2024, O'Reilly Media) - libgen.li.pdf",body:cryptography; body:security
